編號,車位類別,車位價格,車位面積平方公尺
RPXPMLSLLHMFFAF66DA,坡道平面,1800000,33.21
RPTNMLLLLHMFFCF18DA,坡道平面,0,39.60
RPTOMLLMLHMFFBF28DA,坡道平面,1750000,31.93
RPXOMLNLLHMFFBF78DA,坡道機械,1000000,20.14
RPQPMLNLLHMFFBF18DA,坡道平面,1800000,26.63
RPVNMLLLLHMFFBF28DA,坡道平面,1500000,19.52
RPQNMLPLLHMFFBF18DA,坡道平面,1900000,32.56
RPQNMLPLLHMFFBF18DA,坡道平面,1900000,32.56
RPTPMLLLLHMFFHF88DA,坡道平面,0,
RPUPMLLLLHMFFHF98DA,坡道機械,1600000,22.44
RPWNMLLLLHMFFGF88DA,坡道平面,1800000,31.16
RPUOMLQLMHMFFCF09EA,坡道平面,2600000,26.65
RPWOMLQLMHMFFCF66EA,坡道平面,2000000,31.96
RPOQMLKLLHMFFBF87EA,坡道平面,0,33.63
RPOQMLKLLHMFFBF87EA,坡道平面,0,33.63
RPUNMLLLLHMFFBF28EA,坡道平面,1700000,33.01
RPRNMLRLMHMFFAF58EA,坡道平面,0,
RPOOMLMLLHMFFHF38DA,坡道平面,2500000,31.09
RPVNMLKLLHMFFIF88DA,坡道平面,0,20.75
RPOPMLKLLHMFFIF38DA,坡道平面,1400000,38.32
RPSNMLLLLHMFFIF68DA,坡道平面,0,
RPWNMLMLLHMFFIF56DA,坡道機械,800000,16.02
RPQNMLLLLHMFFBF67CA,坡道平面,0,21.53
RPRNMLLLLHMFFBF77CA,坡道平面,0,21.53
RPQOMLLLLHMFFBF77CA,坡道機械,1300000,17.16
RPRNMLMLLHMFFBF87CA,升降平面,1800000,44.47
RPSRMLLLLHMFFBF28CA,坡道平面,2050000,43.36
RPWNMLMLLHMFFBF38CA,升降平面,1910000,44.47
RPSSMLNLLHMFFBF58CA,坡道平面,0,
RPSNMLNLLHMFFBF08CA,坡道平面,0,
RPTRMLMLLHMFFBF48CA,坡道平面,1600000,29.94
RPOOMLNLLHMFFBF77CA,坡道平面,0,
RPWQMLLLLHMFFAF48CA,坡道平面,0,
RPXNMLMLLHMFFAF38CA,坡道平面,0,31.48
RPWPMLNLLHMFFAF58CA,坡道平面,0,
RPXOMLNLLHMFFAF58CA,坡道機械,0,18.97
RPXQMLRLLHMFFAF56CA,其他,0,13.23
RPSPMLNLLHMFFAF18CA,坡道平面,0,29.53
RPUOMLLLLHMFFCF28CA,坡道平面,0,24.42
RPQNMLRLLHMFFCF38CA,坡道平面,0,28.96
RPTNMLOLLHMFFCF38CA,坡道平面,0,
RPWNMLSLLHMFFCF09CA,坡道平面,1900000,35.19
RPOOMLSLLHMFFCF38CA,坡道平面,0,35.19
RPOOMLSLLHMFFCF38CA,坡道平面,0,35.19
RPROMLOKMHMFFBF18CA,坡道平面,0,26.49
RPROMLKMLHMFFBF87CA,坡道機械,0,21.77
RPWOMLKMLHMFFBF38CA,坡道平面,1600000,39.78
RPXOMLKMLHMFFBF48CA,坡道平面,1600000,39.78
RPPPMLKMLHMFFBF77CA,坡道平面,1600000,39.78
RPSOMLLMLHMFFBF08CA,坡道平面,0,39.78
RPSOMLLMLHMFFBF08CA,坡道平面,0,39.78
RPTOMLQJMHMFFBF48CA,坡道平面,1800000,39.78
RPTOMLQJMHMFFBF48CA,坡道平面,1800000,39.78
SPTOMLQJMHMFFBF58CA,坡道平面,0,39.78
SPTOMLQJMHMFFBF58CA,坡道機械,0,19.89
SPTOMLQJMHMFFBF58CA,坡道機械,0,19.89
RPTRMLLLLHMFFEF68CA,坡道平面,0,30.04
RPPNMLTLLHMFFEF68CA,坡道平面,1600000,42.94
RPQNMLTLLHMFFEF78CA,坡道平面,1400000,42.94
RPRNMLTLLHMFFEF88CA,坡道平面,1400000,42.94
RPSNMLTLLHMFFEF98CA,坡道平面,1400000,42.94
RPTNMLTLLHMFFEF09CA,坡道平面,1400000,42.94
RPUNMLTLLHMFFEF56CA,坡道平面,1500000,42.94
RPVNMLTLLHMFFEF66CA,坡道平面,1500000,42.94
RPWNMLTLLHMFFEF76CA,坡道平面,1500000,42.94
RPRNMLNLLHMFFEF28CA,坡道平面,0,23.31
RPRNMLNLLHMFFEF28CA,坡道平面,0,23.31
RPTRMLKMLHMFFEF68CA,坡道平面,0,
RPVNMLMLLHMFFDF48CA,坡道平面,750000,24.75
RPUOMLMLLHMFFDF48CA,坡道平面,1200000,41.32
RPQPMLMLLHMFFDF18CA,坡道平面,0,
RPRPMLQJMHMFFCF48CA,坡道平面,1700000,29.75
RPWNMLRLLHMFFDF09CA,坡道平面,0,35.55
RPWOMLRLLHMFFGF86CA,坡道平面,0,26.18
RPWQMLLKMHMFFEF88CA,坡道平面,900000,36.32
RPOQMLSKMHMFFEF78CA,坡道平面,0,
RPPQMLSKMHMFFEF88CA,坡道平面,0,
RPUPMLPJMHMFFEF88CA,坡道機械,0,
RPWRMLPJMHMFFEF66CA,坡道平面,1350000,29.61
RPQQMLOKMHMFFEF58CA,坡道平面,0,38.21
RPXNMLNLLHMFFGF09CA,坡道平面,0,31.64
RPSOMLTLLHMFFDF98CA,坡道平面,0,
RPTNMLRJMHMFFDF68CA,坡道平面,0,23.03
RPVNMLRJMHMFFDF88CA,坡道平面,0,23.03
RPWNMLRJMHMFFDF98CA,坡道平面,0,23.03
RPOOMLRJMHMFFDF28CA,坡道平面,0,23.03
RPSNMLPJMHMFFCF28CA,坡道機械,0,
RPSNMLPJMHMFFCF28CA,坡道機械,0,
RPSNMLPJMHMFFCF28CA,坡道機械,0,
RPSNMLPJMHMFFCF28CA,坡道機械,0,
RPSNMLPJMHMFFCF28CA,坡道機械,0,
RPSNMLPJMHMFFCF28CA,坡道機械,0,
RPSNMLPJMHMFFCF28CA,坡道機械,0,
RPSNMLPJMHMFFCF28CA,坡道機械,0,
RPSNMLPJMHMFFCF28CA,坡道機械,0,
RPSNMLPJMHMFFCF28CA,坡道機械,0,
RPSNMLPJMHMFFCF28CA,坡道機械,0,
RPSNMLPJMHMFFCF28CA,坡道機械,0,
RPSNMLPJMHMFFCF28CA,坡道機械,0,
RPVQMLMLLHMFFDF78CA,坡道平面,0,
RPWRMLTLLHMFFEF17CA,坡道機械,0,25.35
RPQTMLKMLHMFFEF58CA,坡道機械,0,27.42
RPSNMLOLLHMFFEF48CA,坡道平面,0,29.20
RPPNMLRLMHMFFDF48CA,坡道平面,0,30.69
RPPNMLRLMHMFFDF48CA,坡道平面,0,30.69
RPPNMLRLMHMFFDF48CA,坡道平面,0,30.69
RPPNMLRLMHMFFDF48CA,坡道平面,0,30.69
RPPNMLRLMHMFFDF48CA,坡道平面,0,30.69
SPPNMLRLMHMFFDF58CA,坡道平面,0,30.69
SPPNMLRLMHMFFDF58CA,坡道平面,0,30.69
SPPNMLRLMHMFFDF58CA,坡道平面,0,30.69
SPPNMLRLMHMFFDF58CA,坡道平面,0,30.69
SPPNMLRLMHMFFDF58CA,坡道平面,0,30.69
TPPNMLRLMHMFFDF68CA,坡道平面,0,30.69
TPPNMLRLMHMFFDF68CA,坡道平面,0,30.69
TPPNMLRLMHMFFDF68CA,坡道平面,0,30.69
TPPNMLRLMHMFFDF68CA,坡道平面,0,30.69
TPPNMLRLMHMFFDF68CA,坡道平面,0,30.69
TPPNMLRLMHMFFDF68CA,坡道平面,0,30.69
UPPNMLRLMHMFFDF78CA,坡道平面,0,30.69
UPPNMLRLMHMFFDF78CA,坡道平面,0,30.69
UPPNMLRLMHMFFDF78CA,坡道平面,0,30.69
UPPNMLRLMHMFFDF78CA,坡道平面,0,30.69
UPPNMLRLMHMFFDF78CA,坡道平面,0,30.69
RPWOMLMLLHMFFEF78CA,坡道平面,1100000,35.17
RPXOMLMLLHMFFEF88CA,坡道平面,1100000,35.17
RPSRMLLLLHMFFEF58CA,坡道平面,0,30.04
RPXQMLSLLHMFFBF76CA,坡道平面,0,27.18
RPOPMLSKMHMFFBF38CA,坡道平面,1750000,58.47
RPOPMLSKMHMFFBF38CA,坡道平面,1750000,58.47
RPSNMLKMLHMFFCF97CA,坡道平面,0,30.67
RPRNMLOLLHMFFCF18CA,坡道平面,0,34.59
RPTOMLMLLHMFFCF28CA,坡道機械,0,11.51
RPSNMLRLLHMFFAF38CA,升降平面,0,14.05
