鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
觀音區,房地(土地+建物)+車位,桃園市觀音區大觀路三段661~690號,22.34,,特定農業區,甲種建築用地,1051011,土地1建物1車位1,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850416,70.34,2,1,2,有,無,1800000,25590,坡道平面,0.0,0,,RPXPMLTJNHMFFBH17EA
桃園區,房地(土地+建物)+車位,桃園市桃園區大業路一段301~330號,14.77,商,,,1060115,土地1建物2車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950910,148.36,3,2,2,有,有,8230000,55469,坡道平面,0.0,0,,RPROMLNJNHMFFAH38EA
大園區,房地(土地+建物)+車位,桃園市大園區領航北路四段121~150號,34.61,住,,,1060103,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040824,170.07,3,2,2,有,無,11700000,68795,坡道平面,30.07,0,,RPUNMLKKNHMFFEH78EA
桃園區,房地(土地+建物),桃園市桃園區玉山街292巷4弄1~30號,141.35,農,,,1060210,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0630717,78.72,2,1,1,有,無,7500000,95274,,0.0,0,,RPRRMLPLMHMFFAH78CA
桃園區,房地(土地+建物),桃園市桃園區中山路991~1020號,8.34,工,,,1060113,土地1建物1車位0,十七層,十七層,其他,見其他登記事項,鋼筋混凝土造,0840414,64.59,2,1,1,有,有,3000000,46447,,0.0,0,,RPXNMLNJNHMFFAH88EA
桃園區,房地(土地+建物),桃園市桃園區南華街181~210號,8.52,住,,,1060220,土地2建物1車位0,四層，陽台,六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0690820,50.64,1,1,1,有,有,1800000,35545,,0.0,0,,RPROMLPLMHMFFAH68EA
桃園區,房地(土地+建物)+車位,桃園市桃園區大連二街151~180號,12.69,住,,,1060204,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990628,126.5,2,1,1,有,有,7280000,57549,坡道平面,33.31,0,,RPQOMLQLMHMFFAH58DA
桃園區,房地(土地+建物),桃園市桃園區中山路481~510號,133.0,其他,,,1051116,土地4建物1車位0,一層,四層,店面(店鋪),住家用,加強磚造,0590110,71.66,0,0,1,無,無,10600000,147921,,0.0,0,親友、員工或其他特殊關係間之交易。買受人2人各持分1/2。,RPXNMLPJNHMFFAH09EA
桃園區,車位,桃園市桃園區民有十二街1~30號,0.11,住,,,1060118,土地0建物0車位1,,,其他,,,,46.29,0,0,0,無,有,850000,,坡道平面,0.0,0,,RPXNMLPLMHMFFAH56EA
桃園區,房地(土地+建物)+車位,桃園市桃園區民有五街91~120號,26.1,住,,,1060125,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980326,169.88,3,2,2,有,有,10000000,58865,坡道平面,0.0,0,,RPPOMLPLMHMFFAH48EA
