編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLNKMHMFFAN98CA,20,125.44,住家用,鋼筋混凝土造,85年9月12日,十三層,八層
RPUNMLNKMHMFFAN98CA,20,32.29,見其他登記事項,鋼筋混凝土造,85年9月12日,十三層,
RPQNMLNLLHMFFBN68CA,,179.64,見其他登記事項,鋼筋混凝土造,105年8月3日,三層,一層 二層 三層 見其他登記事項
RPQNMLMKMHMFFAN48CA,1,208.50,見其他登記事項,鋼筋混凝土造,104年12月23日,四層,一層 二層 三層 四層 騎樓
RPRNMLMKMHMFFAN58CA,1,223.48,見其他登記事項,鋼筋混凝土造,104年12月23日,四層,一層 二層 三層 四層 騎樓
RPTNMLMKMHMFFAN78CA,23,149.26,住家用,鋼筋混凝土造,82年9月27日,十層,九層 十層
RPTNMLMKMHMFFAN78CA,23,41.67,見其他登記事項,鋼筋混凝土造,82年9月27日,十層,
RPTNMLMKMHMFFAN78CA,23,19.38,見其他登記事項,鋼筋混凝土造,82年9月27日,十層,
RPQNMLKKMHMFFAN28CA,19,122.57,住家用,鋼筋混凝土造,87年6月10日,十四層,十三層
RPQNMLKKMHMFFAN28CA,19,7.50,停車空間,鋼筋混凝土造,87年6月10日,十四層,
RPQNMLKKMHMFFAN28CA,19,41.37,見其他登記事項,鋼筋混凝土造,87年6月10日,十四層,
RPRNMLQJMHMFFAN88CA,35,151.44,住商用,鋼筋混凝土造,71年2月6日,三層,一層 二層 三層 騎樓
RPTNMLNLLHMFFAN88CA,26,98.62,住家用,鋼筋混凝土造,79年11月13日,七層,四層
RPTNMLNLLHMFFAN88CA,26,10.50,見其他登記事項,鋼筋混凝土造,79年11月13日,七層,
RPTNMLNLLHMFFAN88CA,26,22.01,見其他登記事項,鋼筋混凝土造,79年11月13日,七層,
RPTNMLNLLHMFFAN88CA,26,2.28,見其他登記事項,鋼筋混凝土造,79年11月13日,七層,
RPSNMLSJMHMFFDN86CA,,222.70,見其他登記事項,鋼筋混凝土造,105年10月14日,四層,一層 二層 三層 四層 見其他登記事項
RPUNMLSJMHMFFDN07CA,1,225.21,見其他登記事項,鋼筋混凝土造,104年12月11日,四層,一層 二層 三層 四層 屋頂突出物
RPPOMLKMLHMFFDN68CA,19,151.58,住家用,鋼筋混凝土造,87年7月23日,三層,一層 二層 三層
RPSNMLRLLHMFFDN86CA,25,199.03,住家用,鋼筋混凝土造,81年5月13日,四層,一層 二層 三層 四層
RPTNMLOLLHMFFAN09DA,35,188.76,住商用,鋼筋混凝土造,70年9月18日,四層,一層 二層 三層 四層
RPTNMLOLLHMFFHN07CA,2,165.32,住家用,鋼筋混凝土造,104年1月7日,三層,一層 二層 三層
RPRNMLRLLHMFFHN17CA,23,157.16,住商用,鋼筋混凝土造,83年3月24日,三層,一層 二層 三層 騎樓
RPQNMLTJMHMFFFN96CA,1,185.05,見其他登記事項,鋼筋混凝土造,105年5月25日,三層,一層 二層 三層 見其他登記事項
RPSNMLNKMHMFFEN56CA,29,202.08,見其他登記事項,見其他登記事項,77年1月29日,一層,一層 地下層
RPSNMLNKMHMFFEN56CA,28,161.82,工業用,見其他登記事項,77年9月3日,一層,一層
RPPNMLPJMHMFFEN98CA,,205.08,住家用,鋼筋混凝土造,105年12月28日,三層,一層 二層 三層 見其他登記事項
RPRNMLTKMHMFFEN07CA,,206.47,住家用,鋼筋混凝土造,105年12月28日,三層,一層 二層 三層 見其他登記事項
RPWNMLPJMHMFFEN07CA,11,333.03,住商用,鋼筋混凝土造,95年4月28日,四層,一層 二層 三層 四層
RPPNMLLLMHMFFDN68CA,1,203.29,見其他登記事項,鋼筋混凝土造,105年3月4日,三層,一層 二層 三層 屋頂突出物
RPQNMLLLMHMFFEN88CA,,205.08,住家用,鋼筋混凝土造,105年12月28日,三層,一層 二層 三層 見其他登記事項
RPRNMLTJMHMFFFN07CA,1,174.87,見其他登記事項,鋼筋混凝土造,105年5月25日,三層,一層 二層 三層 見其他登記事項
RPTNMLRLLHMFFHN37CA,27,207.25,住商用,鋼筋混凝土造,78年12月4日,三層,一層 二層 三層 騎樓
RPRNMLSLLHMFFAN66DA,18,267.46,見其他登記事項,鋼筋混凝土造,88年3月12日,四層,一層 二層 三層 四層 地下層
RPXNMLKMLHMFFDN76CA,15,216.78,住商用,鋼筋混凝土造,91年1月31日,四層,一層 二層 三層 四層 騎樓
RPOOMLTLLHMFFDN76CA,2,158.02,見其他登記事項,鋼筋混凝土造,104年3月11日,三層,一層 二層 三層 屋頂突出物
RPSNMLTLLHMFFDN07CA,49,88.27,住家用,鋼筋混凝土加強磚造,56年11月21日,二層,一層 二層 騎樓
RPVNMLSLLHMFFDN27CA,36,187.57,住家用,加強磚造,70年1月10日,二層,一層 二層 騎樓
RPQNMLKLMHMFFCN58CA,35,100.60,住家用,加強磚造,71年7月13日,二層,一層 二層
RPRNMLSLLHMFFCN76CA,19,51.27,農舍,加強磚造,87年1月20日,二層,一層 二層 屋頂突出物
RPTNMLQJMHMFFDN76CA,21,130.24,住家用,鋼筋混凝土造,85年6月28日,三層,一層 二層 三層
RPUNMLOLMHMFFDN86CA,26,88.35,見其他登記事項,見其他登記事項,79年9月27日,一層,一層 騎樓
RPUOMLSLLHMFFAN96CA,36,98.80,住家用,加強磚造,69年9月27日,二層,一層 二層
RPSNMLTLLHMFFBN86CA,1,136.33,見其他登記事項,鋼筋混凝土造,105年4月21日,三層,一層 二層 三層 見其他登記事項
RPRNMLMKMHMFFBN68CA,23,96.66,住家用,鋼筋混凝土造,82年9月13日,二層,一層 二層
RPUNMLQJMHMFFBN66CA,2,388.12,住家用,鋼筋混凝土造,103年11月28日,四層,一層 二層 三層 四層
RPROMLRJMHMFFAN09CA,35,26.83,住家用,鋼筋混凝土造,71年7月9日,七層,六層
RPROMLRJMHMFFAN09CA,35,5.14,見其他登記事項,鋼筋混凝土造,71年7月9日,七層,
RPSOMLRJMHMFFAN56CA,44,117.74,住商用,鋼筋混凝土加強磚造,62年9月8日,三層,一層 二層 三層
RPPNMLTJMHMFFAN98CA,40,82.00,住家用,鋼筋混凝土加強磚造,66年5月31日,二層,一層 二層
RPXNMLRKMHMFFAN07CA,34,96.96,住家用,加強磚造,72年4月16日,二層,一層 二層
RPPNMLTKMHMFFAN09CA,9,49.50,見其他登記事項,鋼筋混凝土造,96年10月4日,一層,一層
RPUNMLKMLHMFFAN78CA,1,162.24,見其他登記事項,鋼筋混凝土造,105年5月24日,三層,一層 二層 三層 屋頂突出物
RPROMLTLLHMFFAN76CA,26,142.96,住家用,鋼筋混凝土造,79年10月4日,七層,六層
RPROMLTLLHMFFAN76CA,26,32.48,見其他登記事項,鋼筋混凝土造,79年10月4日,七層,
RPQNMLKMLHMFFAN38CA,21,147.91,見其他登記事項,鋼筋混凝土造,85年4月2日,四層,一層 二層 三層 四層 地下層
RPSNMLQJMHMFFAN98CA,36,121.50,住家用,鋼筋混凝土造,70年2月2日,三層,一層 二層 三層
RPPOMLPJMHMFFAN68CA,23,7.65,停車空間,鋼筋混凝土造,83年6月23日,十三層,地下層
RPPOMLPJMHMFFAN68CA,23,111.00,住家用,鋼筋混凝土造,83年6月23日,十三層,十層
RPPOMLPJMHMFFAN68CA,23,24.08,見其他登記事項,鋼筋混凝土造,83年6月23日,十三層,
RPUNMLTLLHMFFAN96CA,1,185.38,見其他登記事項,鋼筋混凝土造,105年5月24日,三層,一層 二層 三層 屋頂突出物
RPSNMLPJMHMFFDN56CA,2,186.08,見其他登記事項,鋼筋混凝土造,104年3月18日,三層,一層 二層 三層 地下一層 見其他登記事項
RPVNMLRLLHMFFFN47DA,24,155.25,住家用,加強磚造,82年5月25日,三層,一層 二層 三層
RPUNMLSLLHMFFGN57DA,22,76.12,住家用,鋼筋混凝土造,84年5月26日,八層,四層
RPUNMLSLLHMFFGN57DA,22,32.53,見其他登記事項,鋼筋混凝土造,84年5月26日,八層,
RPUNMLKKMHMFFAN78DA,38,381.58,住商用,見其他登記事項,68年8月14日,四層,一層 二層 三層 四層 騎樓
RPQNMLSLLHMFFCN76DA,23,130.20,住家用,鋼筋混凝土造,83年3月11日,三層,一層 二層 三層
RPTNMLKMLHMFFGN66CA,,160.64,住家用,鋼筋混凝土造,105年9月13日,三層,一層 二層 三層
RPVNMLKMLHMFFGN86CA,1,154.24,住家用,鋼筋混凝土造,105年9月13日,三層,一層 二層 三層
RPRNMLRKMHMFFFN96CA,37,125.52,住家用,加強磚造,69年8月26日,二層,一層 二層 騎樓
RPQNMLRJMHMFFEN66CA,28,188.52,住商用,鋼筋混凝土造,78年4月18日,三層,一層 二層 三層
RPWNMLKMLHMFFGN96CA,1,154.24,住家用,鋼筋混凝土造,105年9月13日,三層,一層 二層 三層
RPXNMLKMLHMFFGN07CA,1,154.29,住家用,鋼筋混凝土造,105年9月13日,三層,一層 二層 三層
RPOOMLKMLHMFFGN88CA,1,154.24,住家用,鋼筋混凝土造,105年9月13日,三層,一層 二層 三層
