鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
南區,房地(土地+建物),臺中市南區工學北路61~90號,1.96,商,,,1060305,土地1建物1車位0,八層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,32.57,1,0,1,有,有,有,5300,163,,0.0,0,,RPQNMLSKLHMFFAB97CC
南區,房地(土地+建物),臺中市南區工學北路61~90號,1.65,商,,,1060310,土地1建物1車位0,六層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,28.490000000000002,1,0,1,有,有,有,7500,263,,0.0,0,全新裝潢、傢俱,RPRNMLSKLHMFFAB08CC
南區,房地(土地+建物),臺中市南區工學北路61~90號,1.94,商,,,1060310,土地1建物1車位0,八層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,32.37,1,0,1,有,有,有,6800,210,,0.0,0,,RPSNMLSKLHMFFAB18CC
南區,房地(土地+建物),臺中市南區工學路146巷1~30號,5.75,住,,,1060301,土地1建物1車位0,二十層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860918,71.65,2,1,1,有,有,有,11000,154,,0.0,0,,RPTNMLSKLHMFFAB28CC
西區,房地(土地+建物),臺中市西區美村路一段121~150號,185.0,商,,,1060316,土地2建物2車位0,見其他登記事項,3,店面(店鋪),見其他登記事項,見其他登記事項,0610223,383.08,0,0,0,無,無,無,153253,400,,0.0,0,"106/3/16~106/5/15為裝潢期不計租金，106/5/16~108/5/15月租金為153,253元，108/5/16~110/5/15月租金為158,929元，110/5/16~112/5/15月租金為164,605元",RPUNMLKLLHMFFAB67CC
南區,房地(土地+建物),臺中市南區東興路一段1~30號,1.94,住,,,1060223,土地1建物0車位0,二十三層,32,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0951026,41.99,1,1,1,有,有,有,7000,167,,0.0,0,此建物有隔成二間套房，所以面積除以2。,RPVRMLKLLHMFFAB18CC
西區,建物,臺中市西區忠明南路121~150號,0.0,住,,,1060302,土地0建物1車位2,二十四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871030,210.82999999999998,4,2,2,有,有,有,24200,115,坡道機械,0.0,0,,RPOSMLKLLHMFFAB57CC
南區,房地(土地+建物),臺中市南區忠明南路781~810號,4.55,住,,,1060220,土地1建物1車位0,十層,18,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0931224,122.45,3,1,1,有,有,有,20000,163,,0.0,0,,RPRSMLKLLHMFFAB87CC
北屯區,房地(土地+建物),臺中市北屯區大連路二段181~210號,27.03,住,,,1060314,土地2建物1車位0,見其它登記事項,14,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,0951124,172.62,1,1,2,有,有,無,47000,272,,0.0,0,,RPXNMLKLLHMFFBB08CC
北屯區,房地(土地+建物)+車位,臺中市北屯區北屯路391~420號,22.1,其他,,,1060223,土地1建物1車位1,十一層,16,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040826,181.06,2,2,2,有,有,有,22000,122,坡道平面,32.06,0,,RPSPMLKLLHMFFBB77CC
西屯區,房地(土地+建物)+車位,臺中市西屯區寶慶街1~30號,19.18,商,,,1060220,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041222,169.67000000000002,3,2,1,有,有,有,35000,206,坡道平面,41.72,0,,RPQPMLKLLHMFFCB67CC
